ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
;;;;;81695;1789;4617;2302;72987;1427;51;0;1276;100;2380;59;2321;136052;10453;125599;6526;1;6525;40309;3288;30538;1202;5281;
3172051003;DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;265;7;19;0;239;1;0;0;0;1;8;0;8;426;33;393;4;0;4;99;15;69;2;13;
3173041007;DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;271;0;6;2;263;1;0;0;1;0;0;0;0;394;24;370;24;0;24;86;8;70;2;6;
3175041005;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;149;8;16;1;124;1;0;0;0;1;4;1;3;328;68;260;23;0;23;65;2;50;1;12;
3175031003;DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;52;0;4;1;47;0;0;0;0;0;0;0;0;53;5;48;2;0;2;14;0;12;1;1;
3175101006;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;163;6;13;1;143;0;0;0;0;0;3;0;3;242;42;200;15;0;15;62;0;58;0;4;
3174031002;DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;108;0;4;2;102;2;0;0;1;1;18;0;18;445;15;430;7;0;7;55;4;42;2;7;
3175051002;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;136;3;15;1;117;0;0;0;0;0;4;1;3;239;17;222;9;0;9;36;1;28;0;7;
3175041004;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;250;3;33;1;213;1;0;0;0;1;2;1;1;516;61;455;25;0;25;67;2;58;3;4;
BELUM DIKETAHUI;BELUM DIKETAHUI;BELUM DIKETAHUI;BELUM DIKETAHUI;BELUM DIKETAHUI;10842;0;0;1690;9152;1270;0;0;1268;2;105;0;105;5223;0;5223;73;1;72;12205;2097;7198;252;2658;
